date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:58	1002/1002	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:28:56%20GMT	https://p.w3layouts.com/robots.txt		(from )
22:28:58	15492/15492	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:28:56%20GMT	https://p.w3layouts.com/demos/aditii/web/	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/index.html	(from )
22:28:58	37860/37860	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/css/style.css	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/css/style.css	(from https://p.w3layouts.com/demos/aditii/web/)
22:28:59	93636/93636	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/js/jquery.min.js	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/js/jquery.min.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:28:59	9816/9816	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/css/owl.carousel.css	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/css/owl.carousel.css	(from https://p.w3layouts.com/demos/aditii/web/)
22:28:59	37908/37908	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/js/owl.carousel.js	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/js/owl.carousel.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:28:59	1330/1330	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/js/move-top.js	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/js/move-top.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:00	4758/4758	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/js/easing.js	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/js/easing.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:02	1131/1131	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c68941f-46b%22	http://vdo.ai/core/w3layouts/vdo.ai.js	D:/Money/4trieu/vdo.ai/core/w3layouts/vdo.ai.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:02	45498/45498	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bf35178bf525c01ac7837d418a858bc4%22	http://m.servedby-buysellads.com/monetization.js	D:/Money/4trieu/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:05	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/analytics.js	D:/Money/4trieu/www.google-analytics.com/analytics.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:06	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	D:/Money/4trieu/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:06	15492/15492	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:01%20GMT	https://p.w3layouts.com/demos/aditii/web/index.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/index-2.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:07	1734/1734	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/images/logo.png	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/images/logo.png	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:07	10156/10156	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:05%20GMT	https://p.w3layouts.com/demos/aditii/web/contact.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/contact.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:07	22057/22057	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:06%20GMT	https://p.w3layouts.com/demos/aditii/web/sale.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/sale.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:08	9955/9955	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:06%20GMT	https://p.w3layouts.com/demos/aditii/web/handbags.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/handbags.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:08	9925/9925	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:06%20GMT	https://p.w3layouts.com/demos/aditii/web/accessories.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/accessories.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:09	9939/9939	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:07%20GMT	https://p.w3layouts.com/demos/aditii/web/wallets.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/wallets.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:09	9950/9950	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:07%20GMT	https://p.w3layouts.com/demos/aditii/web/shoes.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/shoes.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:09	11819/11819	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:07%20GMT	https://p.w3layouts.com/demos/aditii/web/service.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/service.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:10	3495/3495	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/js/responsive.menu.js	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/js/responsive.menu.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:10	3397/3397	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/js/responsiveslides.min.js	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/js/responsiveslides.min.js	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:10	17134/17134	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202019%2015:29:08%20GMT	https://p.w3layouts.com/demos/aditii/web/details.html	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/details.html	(from https://p.w3layouts.com/demos/aditii/web/)
22:29:11	135486/135486	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:59:23%20GMT	https://p.w3layouts.com/demos/aditii/web/images/slider1.png	D:/Money/4trieu/p.w3layouts.com/demos/aditii/web/images/slider1.png	(from https://p.w3layouts.com/demos/aditii/web/)
